"id","decimal","hex","tagsite","tagdate","genus_species","sex","reproductive_status","age","contact_name","contact_email"
"*989001000312359",989.001000312359,"3DD.003B9F8E27","carmen","5/1/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000312383",989.001000312383,"3DD.003B9F8E3F","carmen","5/1/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000312307",989.001000312307,"3DD.003B9F8DF3","carmen","5/1/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000312361",989.001000312361,"3DD.003B9F8E29","carmen","5/1/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000312369",989.001000312369,"3DD.003B9F8E31","carmen","5/1/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000315571",989.001000315571,"3DD.003B9F9AB3","carmen","5/1/2013","Leptonycteris yerbabuenae","female","non-reproductive","adult","Winifred Frick","wfrick@batcon.org "
"*989001000312331",989.001000312331,"3DD.003B9F8E0B","carmen","5/1/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000312332",989.001000312332,"3DD.003B9F8E0C","carmen","5/1/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000312380",989.00100031238,"3DD.003B9F8E3C","carmen","5/1/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000312392",989.001000312392,"3DD.003B9F8E48","carmen","5/1/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000312296",989.001000312296,"3DD.003B9F8DE8","carmen","5/1/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000312300",989.0010003123,"3DD.003B9F8DEC","carmen","5/1/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000312308",989.001000312308,"3DD.003B9F8DF4","carmen","5/1/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000312310",989.00100031231,"3DD.003B9F8DF6","carmen","5/1/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000312311",989.001000312311,"3DD.003B9F8DF7","carmen","5/1/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000312312",989.001000312312,"3DD.003B9F8DF8","carmen","5/1/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000312313",989.001000312313,"3DD.003B9F8DF9","carmen","5/1/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000312314",989.001000312314,"3DD.003B9F8DFA","carmen","5/1/2013","Leptonycteris yerbabuenae","female","post-lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000312315",989.001000312315,"3DD.003B9F8DFB","carmen","5/1/2013","Leptonycteris yerbabuenae","female","non-reproductive","adult","Winifred Frick","wfrick@batcon.org "
"*989001000312316",989.001000312316,"3DD.003B9F8DFC","carmen","5/1/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000312317",989.001000312317,"3DD.003B9F8DFD","carmen","5/1/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000312318",989.001000312318,"3DD.003B9F8DFE","carmen","5/1/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000312319",989.001000312319,"3DD.003B9F8DFF","carmen","5/1/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000312321",989.001000312321,"3DD.003B9F8E01","carmen","5/1/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000312322",989.001000312322,"3DD.003B9F8E02","carmen","5/1/2013","Leptonycteris yerbabuenae","female","non-reproductive","adult","Winifred Frick","wfrick@batcon.org "
"*989001000312323",989.001000312323,"3DD.003B9F8E03","carmen","5/1/2013","Leptonycteris yerbabuenae","female","non-reproductive","adult","Winifred Frick","wfrick@batcon.org "
"*989001000312325",989.001000312325,"3DD.003B9F8E05","carmen","5/1/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000312327",989.001000312327,"3DD.003B9F8E07","carmen","5/1/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000312328",989.001000312328,"3DD.003B9F8E08","carmen","5/1/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000312329",989.001000312329,"3DD.003B9F8E09","carmen","5/1/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000312330",989.00100031233,"3DD.003B9F8E0A","carmen","5/1/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000312334",989.001000312334,"3DD.003B9F8E0E","carmen","5/1/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000312336",989.001000312336,"3DD.003B9F8E10","carmen","5/1/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000312337",989.001000312337,"3DD.003B9F8E11","carmen","5/1/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000312339",989.001000312339,"3DD.003B9F8E13","carmen","5/1/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000312340",989.00100031234,"3DD.003B9F8E14","carmen","5/1/2013","Leptonycteris yerbabuenae","female","non-reproductive","adult","Winifred Frick","wfrick@batcon.org "
"*989001000312341",989.001000312341,"3DD.003B9F8E15","carmen","5/1/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000312345",989.001000312345,"3DD.003B9F8E19","carmen","5/1/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000312346",989.001000312346,"3DD.003B9F8E1A","carmen","5/1/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000312347",989.001000312347,"3DD.003B9F8E1B","carmen","5/1/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000312349",989.001000312349,"3DD.003B9F8E1D","carmen","5/1/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000312350",989.00100031235,"3DD.003B9F8E1E","carmen","5/1/2013","Leptonycteris yerbabuenae","female","non-reproductive","adult","Winifred Frick","wfrick@batcon.org "
"*989001000312351",989.001000312351,"3DD.003B9F8E1F","carmen","5/1/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000312352",989.001000312352,"3DD.003B9F8E20","carmen","5/1/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000312354",989.001000312354,"3DD.003B9F8E22","carmen","5/1/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000312356",989.001000312356,"3DD.003B9F8E24","carmen","5/1/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000312357",989.001000312357,"3DD.003B9F8E25","carmen","5/1/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000312365",989.001000312365,"3DD.003B9F8E2D","carmen","5/1/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000312366",989.001000312366,"3DD.003B9F8E2E","carmen","5/1/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000312367",989.001000312367,"3DD.003B9F8E2F","carmen","5/1/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000312368",989.001000312368,"3DD.003B9F8E30","carmen","5/1/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000312370",989.00100031237,"3DD.003B9F8E32","carmen","5/1/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000312371",989.001000312371,"3DD.003B9F8E33","carmen","5/1/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000312372",989.001000312372,"3DD.003B9F8E34","carmen","5/1/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000312373",989.001000312373,"3DD.003B9F8E35","carmen","5/1/2013","Leptonycteris yerbabuenae","female","non-reproductive","adult","Winifred Frick","wfrick@batcon.org "
"*989001000312375",989.001000312375,"3DD.003B9F8E37","carmen","5/1/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000312376",989.001000312376,"3DD.003B9F8E38","carmen","5/1/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000312377",989.001000312377,"3DD.003B9F8E39","carmen","5/1/2013","Leptonycteris yerbabuenae","female","pregnant","adult","Winifred Frick","wfrick@batcon.org "
"*989001000312382",989.001000312382,"3DD.003B9F8E3E","carmen","5/1/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000312384",989.001000312384,"3DD.003B9F8E40","carmen","5/1/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000312386",989.001000312386,"3DD.003B9F8E42","carmen","5/1/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000312387",989.001000312387,"3DD.003B9F8E43","carmen","5/1/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000312391",989.001000312391,"3DD.003B9F8E47","carmen","5/1/2013","Leptonycteris yerbabuenae","female","non-reproductive","adult","Winifred Frick","wfrick@batcon.org "
"*989001000312393",989.001000312393,"3DD.003B9F8E49","carmen","5/1/2013","Leptonycteris yerbabuenae","female","non-reproductive","adult","Winifred Frick","wfrick@batcon.org "
"*989001000315494",989.001000315494,"3DD.003B9F9A66","carmen","5/1/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000315495",989.001000315495,"3DD.003B9F9A67","carmen","5/1/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000315499",989.001000315499,"3DD.003B9F9A6B","carmen","5/1/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000315504",989.001000315504,"3DD.003B9F9A70","carmen","5/1/2013","Leptonycteris yerbabuenae","female","non-reproductive","adult","Winifred Frick","wfrick@batcon.org "
"*989001000315505",989.001000315505,"3DD.003B9F9A71","carmen","5/1/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000315507",989.001000315507,"3DD.003B9F9A73","carmen","5/1/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000315509",989.001000315509,"3DD.003B9F9A75","carmen","5/1/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000315512",989.001000315512,"3DD.003B9F9A78","carmen","5/1/2013","Leptonycteris yerbabuenae","female","non-reproductive","adult","Winifred Frick","wfrick@batcon.org "
"*989001000315517",989.001000315517,"3DD.003B9F9A7D","carmen","5/1/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000315522",989.001000315522,"3DD.003B9F9A82","carmen","5/1/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000315523",989.001000315523,"3DD.003B9F9A83","carmen","5/1/2013","Leptonycteris yerbabuenae","female","non-reproductive","adult","Winifred Frick","wfrick@batcon.org "
"*989001000315524",989.001000315524,"3DD.003B9F9A84","carmen","5/1/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000315529",989.001000315529,"3DD.003B9F9A89","carmen","5/1/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000315530",989.00100031553,"3DD.003B9F9A8A","carmen","5/1/2013","Leptonycteris yerbabuenae","female","pregnant","adult","Winifred Frick","wfrick@batcon.org "
"*989001000315535",989.001000315535,"3DD.003B9F9A8F","carmen","5/1/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000315538",989.001000315538,"3DD.003B9F9A92","carmen","5/1/2013","Leptonycteris yerbabuenae","female","non-reproductive","adult","Winifred Frick","wfrick@batcon.org "
"*989001000315543",989.001000315543,"3DD.003B9F9A97","carmen","5/1/2013","Leptonycteris yerbabuenae","female","non-reproductive","adult","Winifred Frick","wfrick@batcon.org "
"*989001000315546",989.001000315546,"3DD.003B9F9A9A","carmen","5/1/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000315550",989.00100031555,"3DD.003B9F9A9E","carmen","5/1/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000312553",989.001000312553,"3DD.003B9F8EE9","carmen","5/1/2013","Leptonycteris yerbabuenae","female","non-reproductive","adult","Winifred Frick","wfrick@batcon.org "
"*989001000315555",989.001000315555,"3DD.003B9F9AA3","carmen","5/1/2013","Leptonycteris yerbabuenae","female","non-reproductive","adult","Winifred Frick","wfrick@batcon.org "
"*989001000315558",989.001000315558,"3DD.003B9F9AA6","carmen","5/1/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000315559",989.001000315559,"3DD.003B9F9AA7","carmen","5/1/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000315560",989.00100031556,"3DD.003B9F9AA8","carmen","5/1/2013","Leptonycteris yerbabuenae","female","pregnant","adult","Winifred Frick","wfrick@batcon.org "
"*989001000315561",989.001000315561,"3DD.003B9F9AA9","carmen","5/1/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000315569",989.001000315569,"3DD.003B9F9AB1","carmen","5/1/2013","Leptonycteris yerbabuenae","female","pregnant","adult","Winifred Frick","wfrick@batcon.org "
"*989001000315576",989.001000315576,"3DD.003B9F9AB8","carmen","5/1/2013","Leptonycteris yerbabuenae","female","pregnant","adult","Winifred Frick","wfrick@batcon.org "
"*989001000315579",989.001000315579,"3DD.003B9F9ABB","carmen","5/1/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000315586",989.001000315586,"3DD.003B9F9AC2","carmen","5/1/2013","Leptonycteris yerbabuenae","female","non-reproductive","adult","Winifred Frick","wfrick@batcon.org "
"*989001000315589",989.001000315589,"3DD.003B9F9AC5","carmen","5/1/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000315592",989.001000315592,"3DD.003B9F9AC8","carmen","5/1/2013","Leptonycteris yerbabuenae","female","pregnant","adult","Winifred Frick","wfrick@batcon.org "
"*989001000312378",989.001000312378,"3DD.003B9F8E3A","carmen","5/2/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000315484",989.001000315484,"3DD.003B9F9A5C","carmen","5/2/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000315477",989.001000315477,"3DD.003B9F9A55","carmen","5/2/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000312385",989.001000312385,"3DD.003B9F8E41","carmen","5/2/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000315441",989.001000315441,"3DD.003B9F9A31","carmen","5/2/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000312324",989.001000312324,"3DD.003B9F8E04","carmen","5/2/2013","Leptonycteris yerbabuenae","female","pregnant","adult","Winifred Frick","wfrick@batcon.org "
"*989001000315473",989.001000315473,"3DD.003B9F9A51","carmen","5/2/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000312353",989.001000312353,"3DD.003B9F8E21","carmen","5/2/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000312305",989.001000312305,"3DD.003B9F8DF1","carmen","5/2/2013","Leptonycteris yerbabuenae","female","non-reproductive","adult","Winifred Frick","wfrick@batcon.org "
"*989001000312326",989.001000312326,"3DD.003B9F8E06","carmen","5/2/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000312295",989.001000312295,"3DD.003B9F8DE7","carmen","5/2/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000312364",989.001000312364,"3DD.003B9F8E2C","carmen","5/2/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000315411",989.001000315411,"3DD.003B9F9A13","carmen","5/2/2013","Leptonycteris yerbabuenae","female","non-reproductive","adult","Winifred Frick","wfrick@batcon.org "
"*989001000315445",989.001000315445,"3DD.003B9F9A35","carmen","5/2/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000312294",989.001000312294,"3DD.003B9F8DE6","carmen","5/2/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000312297",989.001000312297,"3DD.003B9F8DE9","carmen","5/2/2013","Leptonycteris yerbabuenae","female","pregnant","adult","Winifred Frick","wfrick@batcon.org "
"*989001000312298",989.001000312298,"3DD.003B9F8DEA","carmen","5/2/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
"*989001000312301",989.001000312301,"3DD.003B9F8DED","carmen","5/2/2013","Leptonycteris yerbabuenae","female","lactating","adult","Winifred Frick","wfrick@batcon.org "
